"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x753a49925c968fa59e3cc0e2d597da5e21ae0ecd942f90b444961bfb6da45736","41316321","1681016231","2023-04-09 04:57:11","0x9d86ce4ea939ba71bb97383b85afd12d3b3bbcaf","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","200.740225","$200.97","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x753a49925c968fa59e3cc0e2d597da5e21ae0ecd942f90b444961bfb6da45736","41316321","1681016231","2023-04-09 04:57:11","0xcbed75a2dbf32860d6f86808de986982d2058032","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","200","$200.23","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x753a49925c968fa59e3cc0e2d597da5e21ae0ecd942f90b444961bfb6da45736","41316321","1681016231","2023-04-09 04:57:11","0x7d7c7d28e2061b30887c94b0623ed49c59f6d19c","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","153.112565","$153.29","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x512e21cc8dedba73a394501d82740a3825b4ec76c0f4042bd6fb6793f68a1a84","41316325","1681016239","2023-04-09 04:57:19","0xdf94895ff64012f2832a8ba9da2fae5e7b68d789","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","150.918815","$151.09","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x512e21cc8dedba73a394501d82740a3825b4ec76c0f4042bd6fb6793f68a1a84","41316325","1681016239","2023-04-09 04:57:19","0xc9dc938af1fccd038e293535cf358502b9a16249","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","144","$144.17","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x512e21cc8dedba73a394501d82740a3825b4ec76c0f4042bd6fb6793f68a1a84","41316325","1681016239","2023-04-09 04:57:19","0x1e178a22f6c069095394489544e8f77f1f7893cd","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","114.280748","$114.44","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x512e21cc8dedba73a394501d82740a3825b4ec76c0f4042bd6fb6793f68a1a84","41316325","1681016239","2023-04-09 04:57:19","0x62929db669e7e748a28178a99c6a202135944f3f","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","113.868885","$114.03","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x512e21cc8dedba73a394501d82740a3825b4ec76c0f4042bd6fb6793f68a1a84","41316325","1681016239","2023-04-09 04:57:19","0xc19032538df7624f0605ffb5def5c00b4031c715","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","22.08639343","N/A","0x94f98d16c6ba5c2f649d6d7efb9767b14b0f325b","BlockAura Token 3.0 (PoS)","TBAC",""
"0x33299617218011e65d7f39c66e7bad14850060b5cf9b686c44e0d19f1db7f046","41316330","1681016249","2023-04-09 04:57:29","0x2444aac7235f44c72dea79e38b2c96ea11796cea","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","100.78","$100.90","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x33299617218011e65d7f39c66e7bad14850060b5cf9b686c44e0d19f1db7f046","41316330","1681016249","2023-04-09 04:57:29","0xcb5282e5f49ea4f41e5d11f1361fa0421df66ff8","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","100","$100.12","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x33299617218011e65d7f39c66e7bad14850060b5cf9b686c44e0d19f1db7f046","41316330","1681016249","2023-04-09 04:57:29","0x5c8ff3a17642a1a19ed9e3f5dd800a050a6a8c32","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","99.201648","$99.34","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x33299617218011e65d7f39c66e7bad14850060b5cf9b686c44e0d19f1db7f046","41316330","1681016249","2023-04-09 04:57:29","0xf6d6caf4e98da1383940010134cd5fa93c6bdae9","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","91.19","$91.32","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x4b7dcfb2b77650122138d0816f4371af5146155524eda41508d9f923ed0379b7","41316336","1681016263","2023-04-09 04:57:43","0x9d10cfc712c8e8a6e2afeb3015a53a56f6a4111b","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","89.960248","$90.09","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x4b7dcfb2b77650122138d0816f4371af5146155524eda41508d9f923ed0379b7","41316336","1681016263","2023-04-09 04:57:43","0xe9de2e48c95509280b8d15f99e26612864333863","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","79.78","$79.87","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x4b7dcfb2b77650122138d0816f4371af5146155524eda41508d9f923ed0379b7","41316336","1681016263","2023-04-09 04:57:43","0x560c98f9733e19a4dbd00206ed42a0a83f8d071a","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","79.20041","$79.31","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x4b7dcfb2b77650122138d0816f4371af5146155524eda41508d9f923ed0379b7","41316336","1681016263","2023-04-09 04:57:43","0x82d193140b161a5bbb00b66530b83805684d2695","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.00276544","$77.44","0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6","(PoS) Wrapped BTC","WBTC",""
"0x127fc65b27fc71272377d6d114d9eca57f71229051944d225806099b33a49e80","41316341","1681016273","2023-04-09 04:57:53","0xf118f8b46d2fb2596b4f38c4be3539a589b4c99e","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","61.470001","$61.54","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
"0x127fc65b27fc71272377d6d114d9eca57f71229051944d225806099b33a49e80","41316341","1681016273","2023-04-09 04:57:53","0x3401701b49639f602165ce21d969a1edabc7f206","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","57.8363","$57.92","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","USD Coin (PoS)","USDC",""
"0x127fc65b27fc71272377d6d114d9eca57f71229051944d225806099b33a49e80","41316341","1681016273","2023-04-09 04:57:53","0x689e994d0e4fcd7f5771de774bc83e4126e468f4","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","57.400303","$57.47","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","(PoS) Tether USD","USDT",""
