"Txhash","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x86ac898d4ec24a8823bc247b9000598e25fe9b8fbd5213f4425435d0ba6f1268","1681019706","2023-04-09 05:55:06","0x8db6b8e5a978871044864ae94825387add06384d","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","4.1967","$4.20","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x86ac898d4ec24a8823bc247b9000598e25fe9b8fbd5213f4425435d0ba6f1268","1681019706","2023-04-09 05:55:06","0x29a1303f5412c771c421997f75b19773c2601568","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","3.9976","$4.00","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x49beb144774b2c1b654377cc379113b94a984044c3d8798d8ce462c0a9770f85","1681019721","2023-04-09 05:55:21","0x365d7431ddc4121e8ac07710e10c34edecdc452a","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","1.621181645252976777","N/A","0x4200000000000000000000000000000000000042","Optimism","OP"
"0xed802ba5a4bf7c9cb3cde2df2fbd567818a669b4bf812dae9c40c34891d49eda","1681057946","2023-04-09 16:32:26","0xcf65c45e37e8d70e3ed62fb6e8fc14210fccb527","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","1.94","$1.53","0x296f55f8fb28e498b858d0bcda06d955b2cb3f97","StargateToken","STG"
"0xe5ac88618bf349321a30d04b860c5ff27c849db99bbc0a1eac2166d26fdf0aac","1681058081","2023-04-09 16:34:41","0xd33f357220fe1cd8786f222ef65c85cd2435f53c","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","1.739006","$1.74","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x68467f46cba27624ef4533712490a9bc8556ba50fe8a7cd14e500504129ea401","1681058126","2023-04-09 16:35:26","0x5458e942470d50053f49d22dcc39aaa0d793d7ee","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.99","$0.99","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x25507e12712e9d7fe40fca2e3c5a9a9956a663f4cdf60963852cadec6f6f7a4e","1681131056","2023-04-10 12:50:56","0x57a98b1765313e664c2fd1a7b490114ce8658fd5","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","132.837622","$132.98","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x3eea11126a3bbbbebc81fb92516ff8e455f5310c524cc202bebb6b7cfa8c80db","1681131056","2023-04-10 12:50:56","0xbd5b72956c6dede12c7449a227d8d2aa4b152b97","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","120.378678","$120.51","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x836369ac1d5805d75074d59caaac7083754f298d5d635744dfd2f21007b5c636","1681134866","2023-04-10 13:54:26","0xbe998ecd9cffc755f07e2003cc54c9237b493d89","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","3","$3.00","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0xf00fa93e78456cec3aaba23c1f5e5b6be8a60c31fc16dfc51b851ba82290d53e","1681141316","2023-04-10 15:41:56","0x1135bd1bf173a5afdb6619eff91a61518796de87","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","110.832056","$111.04","0x94b008aa00579c1307b0ef2c499ad98a8ce58e58","Tether USD","USDT"
"0x62fb3c2eda127dcb335affe6de798743e3eb414b7e6b8442e038b15edbccb025","1681168797","2023-04-10 23:19:57","0xd2d3bebbf5e41a159b8ecc90a0a02b1018dd0d70","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","9.99","$10.00","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x18b4cbeabc99b35de2a6ae447c174eafc6ee2be862def88f99e54e2f72b1c724","1681201800","2023-04-11 08:30:00","0x6fd6de5ba9f70f00e2d916f722fa4b5e26278dc7","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","10.499999","$10.52","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
"0x7c0cc8fd9e77efa6ab9f020700b0d30b5cff22157a977a1c8ee2c6553a5c2acf","1681334796","2023-04-12 21:26:36","0x5458e942470d50053f49d22dcc39aaa0d793d7ee","0x74ebb8e8d0b0cc65f06040eb0f77b5da0e33ffee","0.01","$0.01","0x7f5c764cbc14f9669b88837ca1490cca17c31607","USD Coin","USDC"
